Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,178.699997,179.149994,167.070007,172.240005,172.240005,3879000
2021-01-05,175.710007,186.630005,173.550003,181.479996,181.479996,4607200
2021-01-06,197.899994,210.199997,195.770004,203.380005,203.380005,33331900
2021-01-07,209.839996,222.429993,209.199997,213.759995,213.759995,6055500
2021-01-08,217.699997,219.970001,200.050003,207.410004,207.410004,5199700
2021-01-11,200.399994,208.389999,196.119995,201.679993,201.679993,3005500
2021-01-12,204.880005,207.990005,197.080002,206.490005,206.490005,2502700
2021-01-13,205.470001,208.270004,199.639999,203.690002,203.690002,2411600
2021-01-14,207.039993,216.220001,206.5,208.830002,208.830002,2773000
2021-01-15,206.539993,208.350006,189.210007,190.589996,190.589996,5237100
2021-01-19,197.830002,204.009995,194.210007,201.279999,201.279999,3841400
2021-01-20,203.210007,206.470001,196.330002,199.399994,199.399994,2746600
2021-01-21,201.970001,214.5,196.649994,212.089996,212.089996,3612600
2021-01-22,208.179993,213.550003,204.699997,212.070007,212.070007,2521500
2021-01-25,215.559998,221.419998,200.360001,202.729996,202.729996,3447600
2021-01-26,206.210007,209.619995,185.220001,187.339996,187.339996,4957400
2021-01-27,180.0,191.0,175.389999,179.020004,179.020004,4470700
2021-01-28,182.850006,195.699997,177.0,193.740005,193.740005,3472200
2021-01-29,191.5,194.949997,177.669998,182.350006,182.350006,2750800
2021-02-01,185.300003,188.360001,177.350006,186.339996,186.339996,2494300
2021-02-02,189.839996,194.309998,186.660004,192.630005,192.630005,2178200
2021-02-03,196.179993,197.929993,190.0,196.339996,196.339996,1693800
2021-02-04,194.600006,197.240005,191.580002,195.630005,195.630005,1531300
2021-02-05,196.979996,196.990005,190.5,193.199997,193.199997,1755300
2021-02-08,194.630005,203.380005,193.600006,197.869995,197.869995,2114200
2021-02-09,197.759995,202.919998,195.699997,200.100006,200.100006,2894600
2021-02-10,214.0,229.039993,200.600006,202.070007,202.070007,6482800
2021-02-11,205.550003,209.419998,197.259995,199.080002,199.080002,2999100
2021-02-12,196.0,208.949997,193.660004,206.509995,206.509995,2446200
2021-02-16,208.070007,208.410004,192.809998,193.5,193.5,2866700
2021-02-17,190.020004,191.5,181.520004,189.339996,189.339996,3650000
2021-02-18,182.5,184.0,175.509995,180.839996,180.839996,3633800
2021-02-19,185.020004,194.940002,184.0,189.740005,189.740005,2486200
2021-02-22,182.809998,183.070007,166.119995,167.860001,167.860001,4845800
2021-02-23,159.339996,171.25,148.0,170.889999,170.889999,5325700
2021-02-24,170.660004,183.25,163.100006,180.869995,180.869995,4021000
2021-02-25,179.410004,181.0,166.100006,167.369995,167.369995,5927400
2021-02-26,168.0,177.429993,163.509995,176.059998,176.059998,3046500
2021-03-01,179.979996,186.770004,177.0,186.449997,186.449997,2695300
2021-03-02,185.300003,185.300003,171.139999,171.690002,171.690002,3343200
2021-03-03,171.389999,173.789993,160.929993,161.119995,161.119995,3993500
2021-03-04,157.110001,163.619995,143.0,149.880005,149.880005,5586800
2021-03-05,153.679993,154.649994,129.0,143.550003,143.550003,6613400
2021-03-08,145.0,147.860001,131.470001,132.059998,132.059998,4701700
2021-03-09,141.0,150.830002,139.5,148.699997,148.699997,4848200
2021-03-10,158.009995,162.740005,150.089996,152.429993,152.429993,4720700
2021-03-11,158.490005,166.399994,155.789993,165.339996,165.339996,3681400
2021-03-12,157.5,166.25,153.100006,164.710007,164.710007,2387900
2021-03-15,165.009995,175.130005,164.399994,174.160004,174.160004,3376500
2021-03-16,173.009995,175.779999,163.559998,166.309998,166.309998,2385400
2021-03-17,158.570007,167.830002,153.089996,163.820007,163.820007,4099400
2021-03-18,157.5,159.75,147.860001,148.479996,148.479996,3882100
2021-03-19,151.570007,156.75,147.550003,154.949997,154.949997,5954100
2021-03-22,157.589996,163.860001,155.589996,161.110001,161.110001,3055600
2021-03-23,160.490005,165.350006,154.690002,155.970001,155.970001,3576600
2021-03-24,159.050003,159.050003,147.929993,147.979996,147.979996,2153500
2021-03-25,140.509995,148.740005,136.880005,148.479996,148.479996,3736200
2021-03-26,148.070007,153.0,144.520004,152.070007,152.070007,2041500
2021-03-29,148.970001,152.240005,139.690002,142.139999,142.139999,2869000
2021-03-30,139.570007,150.889999,138.059998,150.600006,150.600006,2504300
2021-03-31,155.869995,164.869995,154.580002,162.160004,162.160004,2956600
2021-04-01,169.119995,172.389999,162.25,162.690002,162.690002,2718100
2021-04-05,165.139999,165.570007,148.800003,149.419998,149.419998,3653100
2021-04-06,151.479996,161.169998,151.009995,157.919998,157.919998,2647200
2021-04-07,156.119995,157.679993,149.229996,150.009995,150.009995,2123500
2021-04-08,152.199997,156.100006,151.380005,153.130005,153.130005,2105000
2021-04-09,150.0,152.520004,147.25,151.350006,151.350006,2033700
2021-04-12,151.190002,152.339996,146.059998,151.869995,151.869995,1636900
2021-04-13,150.929993,153.529999,147.580002,153.089996,153.089996,1531700
2021-04-14,152.479996,157.100006,150.919998,151.910004,151.910004,1727000
2021-04-15,155.550003,155.649994,142.419998,145.789993,145.789993,2775300
2021-04-16,144.869995,151.059998,144.839996,150.009995,150.009995,2302900
2021-04-19,146.929993,153.600006,139.270004,141.139999,141.139999,2789400
2021-04-20,141.850006,147.75,140.850006,147.0,147.0,2697500
2021-04-21,144.080002,155.360001,142.020004,155.080002,155.080002,2599600
2021-04-22,160.179993,167.229996,159.009995,160.880005,160.880005,3779700
2021-04-23,163.460007,168.259995,162.0,166.970001,166.970001,2287500
2021-04-26,167.350006,174.089996,164.899994,172.649994,172.649994,2471200
2021-04-27,173.270004,175.740005,169.100006,171.100006,171.100006,2656600
2021-04-28,150.360001,152.990005,144.550003,146.910004,146.910004,12961000
2021-04-29,148.5,149.580002,140.080002,143.399994,143.399994,4947500
2021-04-30,140.509995,144.339996,139.110001,139.25,139.25,3451800
2021-05-03,140.389999,140.389999,134.729996,136.410004,136.410004,3706200
2021-05-04,133.699997,134.929993,124.160004,127.830002,127.830002,6601200
2021-05-05,130.240005,130.690002,124.959999,126.879997,126.879997,3440500
2021-05-06,123.519997,125.940002,117.660004,121.940002,121.940002,5159300
2021-05-07,124.07,127.809998,121.349998,122.959999,122.959999,3432700
2021-05-10,121.449997,121.709999,116.919998,118.120003,118.120003,3220700
2021-05-11,111.080002,122.849998,108.879997,121.419998,121.419998,3884900
2021-05-12,117.059998,120.699997,115.959999,117.169998,117.169998,3920300
2021-05-13,119.029999,121.25,112.32,114.610001,114.610001,4365800
2021-05-14,116.43,120.139999,114.610001,119.779999,119.779999,2486400
2021-05-17,119.010002,119.68,114.230003,118.419998,118.419998,2886100
2021-05-18,119.080002,126.209999,117.5,122.510002,122.510002,3742200
2021-05-19,119.910004,130.800003,119.199997,130.669998,130.669998,4409700
2021-05-20,132.039993,142.619995,131.880005,141.820007,141.820007,5138000
2021-05-21,144.380005,145.0,139.589996,142.279999,142.279999,3552900
2021-05-24,143.699997,145.080002,138.929993,140.869995,140.869995,2284700
2021-05-25,142.289993,143.110001,136.160004,138.529999,138.529999,2837900
2021-05-26,139.5,144.360001,139.050003,143.039993,143.039993,2795900
2021-05-27,143.240005,145.5,141.660004,142.309998,142.309998,2608100
2021-05-28,143.25,146.759995,142.210007,143.050003,143.050003,2175400
2021-06-01,144.5,146.380005,137.229996,139.440002,139.440002,2336200
2021-06-02,139.029999,143.75,137.220001,139.169998,139.169998,2420000
2021-06-03,136.75,138.240005,132.479996,134.130005,134.130005,2537300
2021-06-04,135.869995,138.690002,133.570007,134.699997,134.699997,2193600
2021-06-07,133.619995,137.910004,130.649994,137.470001,137.470001,2084300
2021-06-08,138.360001,141.610001,135.130005,139.149994,139.149994,1612300
2021-06-09,139.949997,141.229996,136.720001,136.970001,136.970001,1615500
2021-06-10,137.149994,144.460007,136.179993,143.5,143.5,3008400
2021-06-11,143.309998,147.460007,140.630005,147.130005,147.130005,2522100
2021-06-14,148.029999,151.740005,146.610001,147.649994,147.649994,2063100
2021-06-15,147.259995,147.710007,143.419998,144.919998,144.919998,1663800
2021-06-16,144.009995,154.059998,144.009995,152.020004,152.020004,3406000
2021-06-17,150.589996,164.279999,150.119995,161.990005,161.990005,4969900
2021-06-18,159.360001,168.149994,159.350006,165.850006,165.850006,5347500
2021-06-21,163.529999,165.889999,157.550003,163.080002,163.080002,2708800
2021-06-22,162.399994,169.800003,162.279999,167.300003,167.300003,2195500
2021-06-23,167.449997,171.699997,167.169998,170.240005,170.240005,2386100
2021-06-24,171.240005,172.460007,165.929993,170.770004,170.770004,2528700
2021-06-25,174.899994,181.190002,173.25,175.389999,175.389999,4042800
2021-06-28,179.020004,188.990005,178.419998,188.330002,188.330002,2809900
2021-06-29,188.199997,192.919998,184.479996,185.710007,185.710007,2882200
2021-06-30,184.309998,186.380005,181.25,183.630005,183.630005,2651100
2021-07-01,182.320007,183.5,177.279999,183.110001,183.110001,1711200
2021-07-02,185.880005,191.0,184.630005,186.410004,186.410004,1729400
2021-07-06,186.350006,189.179993,183.339996,188.809998,188.809998,2138900
2021-07-07,190.100006,196.020004,181.410004,181.830002,181.830002,2657900
2021-07-08,173.149994,181.720001,170.259995,179.720001,179.720001,2405600
2021-07-09,181.0,184.009995,177.75,183.800003,183.800003,1424900
2021-07-12,184.300003,187.619995,180.490005,185.720001,185.720001,1550300
2021-07-13,185.449997,188.949997,182.369995,184.059998,184.059998,1351500
2021-07-14,185.050003,185.919998,170.610001,170.789993,170.789993,2377100
2021-07-15,171.990005,174.309998,162.820007,165.289993,165.289993,3122700
2021-07-16,167.539993,168.300003,163.020004,163.449997,163.449997,1522800
2021-07-19,158.110001,165.860001,155.25,165.279999,165.279999,1968300
2021-07-20,167.529999,173.520004,163.929993,172.089996,172.089996,1943000
2021-07-21,173.550003,180.899994,172.300003,179.789993,179.789993,1921600
2021-07-22,179.75,181.919998,176.559998,178.940002,178.940002,1329600
2021-07-23,178.899994,178.899994,174.210007,178.179993,178.179993,1311600
2021-07-26,177.440002,180.919998,174.5,176.679993,176.679993,1246400
2021-07-27,175.520004,176.850006,166.130005,172.860001,172.860001,2785800
2021-07-28,170.259995,183.0,163.350006,181.419998,181.419998,3610600
2021-07-29,182.559998,188.360001,179.399994,182.059998,182.059998,2035000
2021-07-30,178.729996,189.919998,177.220001,189.600006,189.600006,2351800
2021-08-02,190.009995,191.0,182.350006,183.110001,183.110001,2230600
2021-08-03,188.940002,201.5,187.0,192.619995,192.619995,4428400
2021-08-04,192.330002,196.410004,191.339996,193.929993,193.929993,2027100
2021-08-05,192.600006,193.529999,182.990005,183.449997,183.449997,2134500
2021-08-06,183.589996,184.339996,177.5,179.740005,179.740005,2039300
2021-08-09,181.130005,186.600006,178.800003,185.559998,185.559998,1515200
2021-08-10,187.509995,188.970001,183.320007,184.089996,184.089996,1398900
2021-08-11,185.600006,186.279999,177.059998,182.289993,182.289993,1495900
2021-08-12,180.729996,183.0,178.210007,181.289993,181.289993,1296700
2021-08-13,180.699997,180.710007,174.600006,175.0,175.0,1300100
2021-08-16,173.610001,174.229996,166.600006,167.539993,167.539993,1733100
2021-08-17,166.139999,167.399994,159.839996,163.479996,163.479996,2029500
2021-08-18,164.75,166.619995,162.360001,162.470001,162.470001,1162600
2021-08-19,161.380005,166.490005,160.270004,162.889999,162.889999,1389400
2021-08-20,162.729996,168.089996,162.660004,165.990005,165.990005,1132900
2021-08-23,168.800003,172.880005,166.710007,172.240005,172.240005,2144500
2021-08-24,172.820007,176.800003,171.710007,172.919998,172.919998,1234900
2021-08-25,172.929993,174.649994,170.339996,172.910004,172.910004,763800
2021-08-26,172.910004,177.779999,172.110001,172.429993,172.429993,1291900
2021-08-27,172.779999,177.5,171.660004,174.990005,174.990005,1043100
2021-08-30,176.660004,179.050003,174.610001,177.779999,177.779999,1372900
2021-08-31,178.130005,178.619995,169.600006,173.729996,173.729996,2046200
2021-09-01,177.979996,181.720001,175.0,176.429993,176.429993,1480000
2021-09-02,177.649994,180.309998,175.509995,176.889999,176.889999,1103200
2021-09-03,175.619995,177.690002,172.669998,173.940002,173.940002,1180700
2021-09-07,171.5,172.720001,166.639999,168.729996,168.729996,1916900
2021-09-08,171.360001,174.990005,163.089996,163.380005,163.380005,2262600
2021-09-09,163.449997,164.399994,160.179993,161.360001,161.360001,2043100
2021-09-10,163.080002,164.800003,157.809998,158.220001,158.220001,2035000
2021-09-13,158.990005,161.009995,154.169998,160.089996,160.089996,1952600
2021-09-14,160.460007,162.440002,157.190002,157.949997,157.949997,1543900
2021-09-15,156.869995,157.669998,152.110001,155.529999,155.529999,2400800
2021-09-16,153.940002,157.100006,152.210007,156.789993,156.789993,1997600
2021-09-17,155.429993,161.669998,153.970001,160.889999,160.889999,3596100
2021-09-20,154.660004,156.770004,149.320007,152.440002,152.440002,2526400
2021-09-21,154.910004,155.800003,150.300003,154.289993,154.289993,1949200
2021-09-22,153.240005,158.919998,152.0,158.210007,158.210007,1304200
2021-09-23,158.990005,160.119995,157.0,158.320007,158.320007,1151100
2021-09-24,157.210007,157.389999,152.100006,153.660004,153.660004,1243100
2021-09-27,151.809998,156.880005,148.470001,155.059998,155.059998,1564900
2021-09-28,152.0,153.070007,149.419998,150.710007,150.710007,1985000
2021-09-29,152.330002,153.100006,146.720001,148.399994,148.399994,1866600
2021-09-30,150.190002,151.729996,148.0,149.970001,149.970001,1904500
2021-10-01,152.020004,155.960007,150.559998,155.360001,155.360001,1612300
2021-10-04,153.539993,153.720001,144.470001,145.029999,145.029999,2126800
2021-10-05,146.0,149.729996,144.899994,147.410004,147.410004,1411200
2021-10-06,144.360001,155.850006,143.449997,153.580002,153.580002,2355600
2021-10-07,156.169998,162.729996,156.0,157.229996,157.229996,1966300
2021-10-08,158.460007,159.5,153.589996,154.360001,154.360001,1205100
2021-10-11,154.75,165.460007,154.75,161.259995,161.259995,2146100
2021-10-12,162.119995,172.100006,162.119995,169.839996,169.839996,2438500
2021-10-13,171.929993,175.910004,169.820007,173.210007,173.210007,2118300
2021-10-14,175.600006,176.630005,170.440002,173.779999,173.779999,1541300
2021-10-15,174.589996,175.960007,171.089996,172.919998,172.919998,2037800
2021-10-18,171.389999,181.119995,171.279999,179.970001,179.970001,1900500
2021-10-19,181.0,190.869995,180.100006,187.059998,187.059998,2834400
2021-10-20,186.229996,187.0,177.339996,180.100006,180.100006,2250100
2021-10-21,179.470001,184.779999,177.960007,179.800003,179.800003,2393700
2021-10-22,181.470001,181.470001,174.330002,176.699997,176.699997,1624100
2021-10-25,178.679993,181.240005,176.919998,179.429993,179.429993,1367500
2021-10-26,181.619995,183.380005,170.419998,173.460007,173.460007,2975000
2021-10-27,205.5,225.399994,204.039993,216.220001,216.220001,15168400
2021-10-28,216.220001,227.589996,210.669998,224.460007,224.460007,5733400
2021-10-29,225.0,237.0,225.0,231.630005,231.630005,4171300
2021-11-01,233.039993,239.889999,232.119995,239.529999,239.529999,2631000
2021-11-02,238.050003,239.029999,228.529999,237.610001,237.610001,2762900
