Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,209.960007,211.440002,195.985001,200.490005,200.490005,6281300
2021-01-05,200.244995,211.970001,197.75,211.240005,211.240005,5072200
2021-01-06,204.0,214.695007,203.0,208.850006,208.850006,4703900
2021-01-07,213.024994,222.100006,213.024994,221.470001,221.470001,4194600
2021-01-08,225.830002,228.820007,220.110001,223.729996,223.729996,3537400
2021-01-11,223.649994,234.630005,218.0,232.240005,232.240005,5128700
2021-01-12,233.404999,238.539993,233.0,233.589996,233.589996,3381800
2021-01-13,236.5,236.550003,225.600006,226.419998,226.419998,3554000
2021-01-14,228.649994,231.899994,222.759995,225.619995,225.619995,3101800
2021-01-15,228.080002,230.050003,218.75,219.509995,219.509995,3654900
2021-01-19,224.0,224.660004,217.509995,221.919998,221.919998,3662900
2021-01-20,227.0,228.570007,222.199997,226.330002,226.330002,2128800
2021-01-21,228.0,228.5,219.809998,221.0,221.0,3175700
2021-01-22,220.970001,226.149994,220.309998,223.520004,223.520004,2042200
2021-01-25,227.720001,230.630005,208.690002,217.490005,217.490005,5213200
2021-01-26,217.130005,217.630997,206.009995,206.800003,206.800003,5463900
2021-01-27,200.0,207.759995,193.860001,200.929993,200.929993,6109100
2021-01-28,202.0,216.800003,201.720001,212.490005,212.490005,3416300
2021-01-29,211.330002,217.550003,205.360001,215.800003,215.800003,4000500
2021-02-01,216.559998,218.490005,210.449997,215.009995,215.009995,2932100
2021-02-02,218.529999,221.470001,212.529999,219.639999,219.639999,3584300
2021-02-03,223.0,223.490005,216.270004,218.119995,218.119995,2903800
2021-02-04,219.740005,224.289993,216.809998,224.009995,224.009995,3210700
2021-02-05,226.0,227.949997,222.399994,223.529999,223.529999,2134200
2021-02-08,225.505005,228.649994,219.149994,222.360001,222.360001,2207200
2021-02-09,221.199997,225.389999,220.399994,223.720001,223.720001,1869500
2021-02-10,225.0,233.550003,220.399994,231.350006,231.350006,3381500
2021-02-11,233.490005,239.889999,229.130005,234.800003,234.800003,3980900
2021-02-12,236.550003,245.419998,233.5,242.100006,242.100006,3891200
2021-02-16,248.539993,251.279999,237.610001,242.419998,242.419998,3296600
2021-02-17,238.899994,242.600006,229.149994,238.559998,238.559998,2983500
2021-02-18,236.783005,241.320007,231.600006,239.25,239.25,2640400
2021-02-19,241.830002,246.210007,236.610001,239.199997,239.199997,2333400
2021-02-22,235.651993,237.800003,222.419998,225.830002,225.830002,3268500
2021-02-23,211.199997,219.210007,198.162003,218.389999,218.389999,5899500
2021-02-24,219.779999,219.880005,207.5,216.600006,216.600006,3944300
2021-02-25,216.429993,221.806,204.899994,208.660004,208.660004,3604400
2021-02-26,209.300003,217.190002,204.520004,216.0,216.0,4903500
2021-03-01,220.819,223.839996,215.860001,223.399994,223.399994,2352900
2021-03-02,226.5,231.160004,221.520004,222.100006,222.100006,2538500
2021-03-03,220.856995,223.470001,206.610001,210.619995,210.619995,4155200
2021-03-04,204.789993,208.376999,187.190002,192.990005,192.990005,6635100
2021-03-05,194.639999,195.410004,168.669998,183.119995,183.119995,9438000
2021-03-08,184.289993,192.440002,178.899994,179.75,179.75,5302600
2021-03-09,192.649994,201.139999,189.5,199.100006,199.100006,3865500
2021-03-10,204.0,208.220001,192.5,194.860001,194.860001,3506900
2021-03-11,203.990005,206.669998,198.419998,205.800003,205.800003,3597800
2021-03-12,200.899994,200.979996,195.309998,199.0,199.0,3033900
2021-03-15,199.5,201.470001,195.020996,200.550003,200.550003,2524900
2021-03-16,203.809998,209.100006,193.5,196.309998,196.309998,6766400
2021-03-17,199.0,210.880005,191.279999,208.029999,208.029999,11955100
2021-03-18,203.589996,203.75,189.610001,190.210007,190.210007,8799800
2021-03-19,192.880005,197.789993,190.020004,194.630005,194.630005,7375800
2021-03-22,191.910004,198.0,190.229996,195.729996,195.729996,5561000
2021-03-23,195.740005,197.850006,189.690002,190.600006,190.600006,4210500
2021-03-24,191.0,193.5,180.110001,181.600006,181.600006,3994300
2021-03-25,175.669998,181.880005,174.580002,179.160004,179.160004,3755700
2021-03-26,179.029999,181.5,170.100006,177.684998,177.684998,3732800
2021-03-29,177.690002,182.729996,171.199997,173.850006,173.850006,3050500
2021-03-30,171.080002,176.240005,168.759995,175.279999,175.279999,4278000
2021-03-31,179.240005,184.990005,178.710007,182.509995,182.509995,4268100
2021-04-01,188.766998,194.5,185.429993,187.029999,187.029999,3344400
2021-04-05,191.429993,191.669998,184.720001,186.619995,186.619995,3767700
2021-04-06,186.619995,198.270996,185.860001,194.380005,194.380005,3672300
2021-04-07,195.070007,196.889999,190.639999,193.929993,193.929993,2332500
2021-04-08,197.544998,204.309998,195.673996,203.449997,203.449997,4613300
2021-04-09,201.440002,204.240005,194.309998,202.679993,202.679993,4504000
2021-04-12,201.529999,206.149994,197.509995,203.990005,203.990005,3306800
2021-04-13,206.520004,219.0,206.139999,216.350006,216.350006,5361800
2021-04-14,216.389999,217.399994,207.5,208.199997,208.199997,3263800
2021-04-15,215.5,215.5,207.809998,213.100006,213.100006,4337500
2021-04-16,213.507004,216.539993,208.490005,215.199997,215.199997,3579700
2021-04-19,211.050003,223.229996,210.289993,213.369995,213.369995,3872900
2021-04-20,216.089996,217.740005,205.580002,206.600006,206.600006,2743300
2021-04-21,205.479996,212.218994,201.531006,210.369995,210.369995,1975400
2021-04-22,212.0,223.929993,212.0,216.729996,216.729996,5216900
2021-04-23,219.509995,224.990005,217.729996,219.300003,219.300003,2491500
2021-04-26,220.050003,225.100006,215.929993,224.470001,224.470001,3614600
2021-04-27,225.479996,227.199997,219.891006,221.25,221.25,2326700
2021-04-28,217.869995,223.259995,215.022995,220.240005,220.240005,2486600
2021-04-29,221.0,221.0,208.419998,211.529999,211.529999,3322300
2021-04-30,207.334,214.350006,207.0,208.509995,208.509995,2028900
2021-05-03,209.0,209.589996,204.020004,205.119995,205.119995,2304100
2021-05-04,201.949997,202.990005,191.360001,197.789993,197.789993,4274700
2021-05-05,202.259995,202.740005,192.0,193.240005,193.240005,2307500
2021-05-06,191.520004,191.520004,180.669998,187.070007,187.070007,4903500
2021-05-07,194.279999,197.789993,187.910004,189.179993,189.179993,3182300
2021-05-10,189.179993,190.699997,183.800003,187.580002,187.580002,4166100
2021-05-11,178.919998,195.350006,177.287003,195.100006,195.100006,4910500
2021-05-12,192.0,195.5,185.660004,189.270004,189.270004,3769400
2021-05-13,190.964996,192.850006,179.410004,183.759995,183.759995,3301500
2021-05-14,187.511993,191.350006,183.759995,190.639999,190.639999,2377400
2021-05-17,189.759995,192.514008,185.0,188.529999,188.529999,2023600
2021-05-18,191.330002,199.309998,187.509995,196.779999,196.779999,4125300
2021-05-19,189.630005,199.75,189.270004,198.710007,198.710007,4273500
2021-05-20,201.550003,205.380005,199.009995,204.029999,204.029999,2564300
2021-05-21,207.839996,210.990005,205.619995,210.600006,210.600006,3554400
2021-05-24,212.440002,215.320007,209.360001,214.350006,214.350006,2877900
